x,y
463.65442,216.32607
465.3314,214.67012
467.0423,213.14232
468.7878,211.73827
470.56793,210.44774
472.38217,209.25792
474.23016,208.15593
476.1115,207.12889
478.02573,206.1639
479.97244,205.2481
481.95123,204.36858
483.9617,203.51248
486.0034,202.66692
488.07587,201.81898
490.17877,200.95584
492.31168,200.06458
494.47412,199.13231
496.66574,198.14616
498.88608,197.09325
501.1347,195.9607
503.41125,194.73563
505.71527,193.40514
508.04636,191.95634
510.4041,190.37639
512.7881,188.65237
515.1978,186.77142
517.63293,184.72105
520.0928,182.49423
522.57605,180.09268
525.0812,177.52667
527.6064,174.80986
530.1499,171.956
532.7099,168.97882
535.2846,165.89206
537.87225,162.70947
540.471,159.4448
543.07904,156.11177
545.6947,152.72414
548.3161,149.29562
550.9414,145.84
553.5689,142.37099
556.1968,138.90234
558.82324,135.44778
561.44653,132.02109
564.06476,128.63596
566.6763,125.306145
569.2791,122.04541
571.87164,118.86748
574.452,115.78609
577.0184,112.814995
579.56903,109.967926
582.1023,107.258125
584.6176,104.69303
587.1166,102.27118
589.60236,99.982704
592.0789,97.81456
594.5502,95.75368
597.02014,93.78698
599.49274,91.9014
601.97186,90.08385
604.4614,88.32126
606.9655,86.600555
609.488,84.90866
612.0328,83.23251
614.6038,81.55902
617.2051,79.87512
619.8405,78.16773
622.51404,76.42378
625.2296,74.630196
627.9912,72.7739
630.8027,70.84183
633.6681,68.820885
636.5913,66.698006
639.57623,64.46013
642.62695,62.09416
645.74725,59.587032
648.9406,56.92676
652.2045,54.1119
655.52826,51.156425
658.8931,48.088673
662.27783,44.9419
665.66095,41.749393
669.02124,38.544453
672.33734,35.360363
675.5878,32.23042
678.7514,29.187912
681.8067,26.266138
684.73236,23.498384
687.50714,20.917948
690.10956,18.558115
692.5183,16.452185
694.71204,14.633443
696.6695,13.135185
698.3692,11.990704
699.78986,11.23329
700.9101,10.8962345
701.7087,11.012833
702.1641,11.616375
702.2551,12.740153
701.9603,14.41746
701.2584,16.68159
700.1292,19.564066
698.5624,23.08163
696.5615,27.230383
694.1427,31.987528
691.32605,37.324406
688.1316,43.212322
684.5794,49.62259
680.68964,56.526512
676.48224,63.89541
671.9775,71.700584
667.19525,79.913345
662.15576,88.505005
656.879,97.44687
651.38513,106.71025
645.6942,116.266464
639.8263,126.08681
633.8015,136.14261
627.63983,146.40515
621.3615,156.84576
614.98645,167.43575
608.53485,178.14642
602.02673,188.9491
595.48224,199.81506
588.9214,210.71564
582.36426,221.62215
575.8304,232.50688
569.33466,243.34947
562.88605,254.13931
556.4882,264.8745
550.1431,275.55576
543.85284,286.18362
537.61945,296.75873
531.445,307.28168
525.33154,317.75314
519.28107,328.17374
513.2957,338.54404
507.3775,348.8647
501.5285,359.13632
495.7507,369.35953
490.04623,379.53497
484.4171,389.66324
478.8654,399.74496
473.39313,409.78076
468.00235,419.77124
462.69516,429.71707
457.47357,439.6188
452.33966,449.4771
447.29547,459.2926
442.34308,469.0659
437.48447,478.7976
432.72137,488.4884
428.05292,498.13928
423.475,507.75168
418.98074,517.32733
414.56253,526.86816
410.21268,536.3761
405.9236,545.8529
401.68768,555.3005
397.49728,564.72076
393.3448,574.1156
389.22253,583.4869
385.12296,592.8364
381.03836,602.1662
376.96118,611.478
372.88373,620.77374
368.79846,630.0553
364.69766,639.3246
360.5738,648.5834
356.41916,657.8336
352.22617,667.0772
347.98718,676.316
343.69458,685.5519
339.34073,694.7867
334.918,704.0223
330.4188,713.2606
325.836,722.5035
321.1656,731.75195
316.4073,741.00665
311.56406,750.26733
306.6396,759.5339
301.63757,768.80585
296.56174,778.0831
291.4157,787.36536
286.20325,796.65234
280.92798,805.94385
275.59366,815.23944
270.20392,824.53906
264.7625,833.84235
259.2731,843.14905
253.73938,852.45886
248.16504,861.7716
242.55377,871.0869
236.90927,880.40466
231.23523,889.7245
225.53534,899.04614
219.8133,908.3694
214.0728,917.6939
208.31752,927.01953
202.55116,936.3459
196.77744,945.67285
191.0,955.0
